epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3790.94,0.88133,0.76765,1.16125,0.83475,0.62685,0.69802,0.47716,0.97681,0.82886,1.24262,0.000215774,0.000215774,0.000215774
43,3879.23,0.87632,0.76054,1.16132,0.84411,0.61718,0.68478,0.47639,0.9799,0.8452,1.24315,0.000204769,0.000204769,0.000204769
44,3967.76,0.86726,0.74058,1.15501,0.80627,0.63419,0.72294,0.48769,1.00631,0.85397,1.27336,0.000193763,0.000193763,0.000193763
45,4055.94,0.86917,0.72852,1.15084,0.81468,0.65557,0.73376,0.49742,0.96879,0.82338,1.24829,0.000182758,0.000182758,0.000182758
46,4143.83,0.84251,0.71868,1.13865,0.82649,0.63387,0.78053,0.53037,0.97987,0.83644,1.25462,0.000171752,0.000171752,0.000171752
47,4231.6,0.8464,0.71772,1.14588,0.81072,0.62328,0.78308,0.52071,0.9886,0.82235,1.25759,0.000160747,0.000160747,0.000160747
48,4321.15,0.84556,0.70829,1.14458,0.83271,0.63559,0.7868,0.53751,0.98104,0.81073,1.25157,0.000149741,0.000149741,0.000149741
49,4409.92,0.83577,0.68801,1.13146,0.81527,0.63927,0.7841,0.53419,0.97524,0.80654,1.25571,0.000138736,0.000138736,0.000138736
50,4499.34,0.81213,0.67153,1.12215,0.8329,0.62323,0.7888,0.53556,0.98061,0.83168,1.25766,0.000127731,0.000127731,0.000127731
51,4589.47,0.75853,0.56773,1.0952,0.8245,0.62231,0.77999,0.51804,0.98102,0.82678,1.2653,0.000116725,0.000116725,0.000116725
52,4675.76,0.73467,0.52208,1.07572,0.79309,0.64456,0.77913,0.53063,0.96656,0.80922,1.24902,0.00010572,0.00010572,0.00010572
53,4761.67,0.72883,0.51096,1.075,0.81585,0.63571,0.78736,0.52435,0.97203,0.81117,1.25624,9.4714e-05,9.4714e-05,9.4714e-05
54,4846.64,0.71177,0.49571,1.05742,0.82306,0.63906,0.79233,0.53192,0.96126,0.79768,1.2497,8.37085e-05,8.37085e-05,8.37085e-05
55,4931.95,0.70961,0.48171,1.06543,0.59633,0.82409,0.78884,0.52431,0.96906,0.81463,1.25093,7.2703e-05,7.2703e-05,7.2703e-05
56,5017.76,0.69627,0.48417,1.05662,0.80536,0.65697,0.78774,0.52933,0.96311,0.79772,1.24897,6.16975e-05,6.16975e-05,6.16975e-05
57,5103.24,0.68886,0.48951,1.05056,0.82379,0.63456,0.7887,0.54245,0.96005,0.8035,1.24805,5.0692e-05,5.0692e-05,5.0692e-05
58,5188.77,0.6821,0.46846,1.04216,0.63081,0.80952,0.78469,0.53845,0.96969,0.79685,1.2591,3.96865e-05,3.96865e-05,3.96865e-05
59,5274.1,0.67836,0.46944,1.04642,0.60882,0.81352,0.78609,0.53949,0.96717,0.80491,1.25307,2.8681e-05,2.8681e-05,2.8681e-05
60,5359.79,0.6771,0.4522,1.04025,0.81574,0.65354,0.78838,0.54326,0.95568,0.79269,1.2425,1.76755e-05,1.76755e-05,1.76755e-05
